 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        3.240E+02        0.000E+00
2.00E+00        0.000E+00        0.000E+00       -7.362E+01
3.00E+00        0.000E+00        0.000E+00       -7.659E+01
4.00E+00        0.000E+00        0.000E+00       -8.505E+01
5.00E+00        0.000E+00        0.000E+00       -9.846E+01
6.00E+00        0.000E+00        0.000E+00       -1.029E+02
7.00E+00        0.000E+00        7.521E+01        0.000E+00
8.00E+00        0.000E+00        0.000E+00       -1.809E+02
9.00E+00        0.000E+00        1.190E+02        0.000E+00
1.00E+01        0.000E+00        1.107E+02        0.000E+00
1.10E+01        0.000E+00        0.000E+00       -2.336E+02
1.20E+01        0.000E+00        0.000E+00       -1.930E+02
1.30E+01        0.000E+00        1.252E+02        0.000E+00
1.40E+01        0.000E+00        0.000E+00       -6.240E+00
1.50E+01        0.000E+00        0.000E+00       -2.273E+02
1.60E+01        0.000E+00        1.159E+02        0.000E+00
1.70E+01        0.000E+00        0.000E+00       -1.837E+02
1.80E+01        0.000E+00        0.000E+00       -1.588E+02
1.90E+01        0.000E+00        2.357E+02        0.000E+00
2.00E+01        0.000E+00        0.000E+00       -1.392E+02
2.10E+01        0.000E+00        0.000E+00       -1.268E+02
2.20E+01        0.000E+00        0.000E+00       -1.105E+02
2.30E+01        0.000E+00        0.000E+00       -9.792E+01
2.40E+01        0.000E+00        0.000E+00       -9.099E+01
