 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 #--------------------------------------------------------------------------#
 #  file ThermalStorageSOC.dat; contains the state of charge of the thermal storage.  
 #--------------------------------------------------------------------------#

Time [h]            SOC in [%]          SOC out [%]         SOC in [kJ]         SOC out [kJ]        

 1.00                0.00               91.67                  0.00E+00            1.16E+07
 2.00               91.67               83.33                  1.16E+07            1.05E+07
 3.00               83.33               75.00                  1.05E+07            9.45E+06
 4.00               75.00               58.33                  9.45E+06            7.35E+06
 5.00               58.33               25.00                  7.35E+06            3.15E+06
 6.00               25.00                0.00                  3.15E+06            5.00E-01
 7.00                0.00               50.00                  5.00E-01            6.30E+06
 8.00               50.00               83.33                  6.30E+06            1.05E+07
 9.00               83.33               33.33                  1.05E+07            4.20E+06
10.00               33.33               50.00                  4.20E+06            6.30E+06
11.00               50.00                8.33                  6.30E+06            1.05E+06
12.00                8.33               66.67                  1.05E+06            8.40E+06
13.00               66.67               25.00                  8.40E+06            3.15E+06
14.00               25.00               66.67                  3.15E+06            8.40E+06
15.00               66.67               16.67                  8.40E+06            2.10E+06
16.00               16.67               58.33                  2.10E+06            7.35E+06
17.00               58.33               33.33                  7.35E+06            4.20E+06
18.00               33.33                8.33                  4.20E+06            1.05E+06
19.00                8.33               83.33                  1.05E+06            1.05E+07
20.00               83.33               58.33                  1.05E+07            7.35E+06
21.00               58.33               41.67                  7.35E+06            5.25E+06
22.00               41.67               33.33                  5.25E+06            4.20E+06
23.00               33.33               25.00                  4.20E+06            3.15E+06
24.00               25.00                0.00                  3.15E+06            8.00E+00
